rlpd;OPEN;2020-01-20 15:48;2020-06-01 04:01;2020-08-04 15:22;[687, 682, 695];[96];651
zoh;OPEN;2020-01-10 17:52;2020-05-31 15:07;2020-07-02 02:58;[695, 670, 687, 662];[91];651
eqzv;OPEN;2020-01-19 01:45;2020-05-25 13:36;2020-08-03 12:19;[661, 671, 674, 676];[96];651
rdi;OPEN;2020-01-25 18:10;2020-05-03 22:40;2020-08-10 19:23;[693, 664, 676, 676];[97];651
jqk;OPEN;2020-01-02 09:18;2020-05-06 00:26;2020-07-26 18:19;[681, 674, 661, 659];[92];651
zkh;OPEN;2020-01-29 10:31;2020-05-08 05:02;2020-08-23 00:19;[677, 681, 693];[92];651
vpw;OPEN;2020-01-18 04:58;2020-05-12 16:45;2020-08-25 09:29;[683, 659, 697];[94];651
rdcy;OPEN;2020-01-21 21:00;2020-05-19 09:53;2020-07-27 14:03;[671, 664, 678];[93];651
piaj;OPEN;2020-01-14 11:14;2020-05-18 18:06;2020-07-13 21:55;[658, 661, 665, 677, 682];[97];651
apez;OPEN;2020-01-23 20:42;2020-05-02 11:45;2020-08-06 06:33;[675, 687, 661, 688, 670];[98];651
duki;OPEN;2020-01-12 20:20;2020-05-13 03:35;2020-08-22 11:36;[664, 673, 678, 673];[91];651
zpgz;OPEN;2020-01-30 19:07;2020-05-28 14:20;2020-08-30 12:54;[691, 698, 699, 699, 662];[91];651
sqc;OPEN;2020-01-07 16:37;2020-05-09 14:38;2020-07-24 23:41;[664, 684, 662, 663, 685];[97];651
usgq;OPEN;2020-01-01 14:45;2020-05-18 11:12;2020-07-18 13:57;[673, 670, 668, 673, 680];[98];651
lbf;OPEN;2020-01-14 02:26;2020-05-16 17:10;2020-07-27 07:25;[661, 690, 686, 670];[95];651
uyb;OPEN;2020-01-30 04:50;2020-05-03 04:14;2020-07-02 15:17;[670, 674, 683, 670];[92];651
cqng;OPEN;2020-01-13 17:18;2020-05-22 18:17;2020-08-16 16:05;[691, 660, 678, 665];[99];651
mjzv;OPEN;2020-01-12 11:02;2020-05-06 12:23;2020-08-29 00:04;[695, 683, 682, 681, 665];[95];651
vub;OPEN;2020-02-01 01:55;2020-05-28 06:13;2020-07-30 09:38;[690, 696, 667];[93];651
qluy;OPEN;2020-01-22 01:54;2020-05-09 22:38;2020-07-31 01:25;[671, 668, 670];[97];651
sloe;OPEN;2020-01-08 04:04;2020-05-22 14:55;2020-07-24 11:47;[668, 662, 659];[94];651
aoi;OPEN;2020-01-10 21:32;2020-05-14 16:37;2020-07-10 06:38;[696, 665, 697, 694];[93];651
moto;OPEN;2020-01-20 03:57;2020-05-30 15:19;2020-08-28 23:37;[683, 681, 696];[98];651
oqho;OPEN;2020-01-18 15:20;2020-05-10 09:30;2020-07-03 10:22;[691, 664, 687, 682];[95];651
hkgb;OPEN;2020-01-12 08:05;2020-05-23 12:02;2020-07-12 05:32;[674, 683, 673, 685];[98];651
bmmi;OPEN;2020-01-10 03:19;2020-05-04 13:47;2020-08-25 21:51;[672, 663, 663];[97];651
clb;OPEN;2020-01-24 16:00;2020-05-09 05:18;2020-08-28 11:06;[687, 664, 684, 663];[99];651
kql;OPEN;2020-01-22 14:57;2020-05-15 15:09;2020-08-15 18:46;[661, 691, 684];[92];651
jwt;OPEN;2020-01-03 19:14;2020-05-08 22:44;2020-07-28 19:05;[665, 680, 672];[99];651
meu;OPEN;2020-01-11 22:03;2020-05-18 15:54;2020-08-10 05:04;[693, 669, 688, 699, 683];[95];651
ltgl;OPEN;2020-01-16 06:20;2020-05-21 02:26;2020-07-11 14:01;[681, 675, 694, 688];[99];651
xruz;OPEN;2020-01-16 04:38;2020-05-27 12:30;2020-07-24 05:59;[674, 680, 679, 666];[95];651
fao;OPEN;2020-01-13 02:37;2020-05-16 02:55;2020-07-07 14:09;[684, 692, 681, 669];[92];651
qqb;OPEN;2020-01-15 04:05;2020-05-16 05:30;2020-07-24 03:54;[697, 670, 662, 687, 670];[92];651
peky;OPEN;2020-01-03 21:57;2020-05-25 05:23;2020-08-03 12:12;[663, 660, 665, 672];[92];651
wfxd;OPEN;2020-01-25 09:44;2020-05-04 23:04;2020-08-07 16:58;[676, 678, 696];[94];651
ncov;OPEN;2020-01-26 02:33;2020-05-12 23:40;2020-07-29 17:27;[682, 659, 675, 669];[93];651
mubb;OPEN;2020-01-27 01:48;2020-05-19 11:23;2020-08-04 10:15;[670, 698, 665, 693];[97];651
xmyk;OPEN;2020-01-20 09:08;2020-05-10 22:22;2020-08-24 18:05;[676, 681, 671, 695, 690];[95];651
ftgf;OPEN;2020-01-22 02:38;2020-05-06 14:19;2020-07-09 05:47;[686, 684, 685, 671];[97];651
puow;OPEN;2020-01-10 23:36;2020-05-10 02:46;2020-08-04 06:44;[695, 669, 679];[96];651
tlo;OPEN;2020-01-12 16:09;2020-05-24 23:34;2020-07-06 18:00;[669, 674, 668, 697];[98];651
tne;OPEN;2020-01-15 07:59;2020-05-31 01:28;2020-07-22 04:06;[658, 692, 698, 698, 664];[98];651
bqe;OPEN;2020-01-14 21:54;2020-05-27 07:03;2020-07-05 20:30;[692, 686, 659];[94];651
aclg;OPEN;2020-01-07 17:08;2020-05-12 23:28;2020-08-25 03:31;[691, 672, 669];[93];651
wjm;OPEN;2020-01-26 07:50;2020-05-12 14:59;2020-07-16 21:37;[684, 688, 692];[96];651
iyrs;OPEN;2020-01-07 23:01;2020-05-19 02:34;2020-08-06 04:29;[685, 683, 682];[91];651
fttn;OPEN;2020-01-26 07:53;2020-05-13 00:00;2020-07-23 18:39;[668, 660, 658];[97];651
kem;OPEN;2020-01-23 15:44;2020-05-29 11:17;2020-07-16 09:06;[668, 660, 695, 668, 675];[99];651
yrw;OPEN;2020-01-04 21:02;2020-05-22 18:26;2020-07-04 22:24;[682, 686, 688, 694, 680];[98];651
siwm;OPEN;2020-01-12 22:33;2020-05-20 03:28;2020-08-30 22:53;[671, 673, 658, 678];[97];651
qda;OPEN;2020-01-26 18:06;2020-05-27 12:22;2020-08-27 04:29;[692, 673, 678, 674, 671];[97];651
nvpq;OPEN;2020-01-01 23:37;2020-05-14 17:22;2020-07-06 21:14;[699, 680, 695];[98];651
dezt;OPEN;2020-01-16 07:12;2020-05-02 20:59;2020-08-12 09:34;[692, 670, 666];[94];651
kcb;OPEN;2020-01-15 06:16;2020-05-19 20:31;2020-07-20 23:55;[697, 687, 684];[96];651
aei;OPEN;2020-01-12 00:16;2020-05-10 09:22;2020-07-03 08:16;[682, 691, 662, 697];[92];651
knd;OPEN;2020-01-24 03:14;2020-05-18 03:16;2020-07-16 05:15;[668, 687, 686, 688];[93];651
wld;OPEN;2020-01-29 13:52;2020-06-01 00:41;2020-08-28 23:02;[663, 661, 698];[93];651
vsp;OPEN;2020-01-04 01:38;2020-05-16 16:19;2020-08-02 20:36;[663, 658, 679, 671];[95];651
epd;OPEN;2020-01-07 18:08;2020-05-26 06:23;2020-07-03 14:27;[663, 685, 675];[93];651
dkc;OPEN;2020-01-02 06:22;2020-05-29 03:58;2020-07-07 00:37;[667, 691, 664, 659, 686];[91];651
ruu;OPEN;2020-01-06 08:38;2020-06-01 11:23;2020-08-01 21:20;[689, 681, 698, 675];[99];651
nzu;OPEN;2020-01-27 18:48;2020-05-15 10:09;2020-07-16 11:49;[679, 693, 696, 678, 680];[94];651
bkgu;OPEN;2020-01-20 15:11;2020-05-23 05:36;2020-08-11 15:07;[669, 688, 693];[95];651
uad;OPEN;2020-01-23 00:09;2020-05-07 07:37;2020-07-23 04:31;[660, 660, 690];[92];651
iqs;OPEN;2020-01-26 10:33;2020-05-21 06:49;2020-08-16 08:20;[672, 694, 665];[91];651
oxxh;OPEN;2020-01-10 07:53;2020-05-07 01:03;2020-07-05 19:16;[663, 698, 667, 685];[95];651
qjcj;OPEN;2020-01-12 16:36;2020-05-15 17:59;2020-07-01 23:17;[669, 698, 666, 667, 677];[93];651
mhaw;OPEN;2020-01-26 07:46;2020-05-14 16:29;2020-07-20 21:25;[671, 677, 693];[96];651
ydr;OPEN;2020-01-16 21:55;2020-05-15 07:52;2020-08-08 05:43;[677, 662, 672, 696];[91];651
lifz;OPEN;2020-01-29 10:43;2020-05-19 05:37;2020-08-24 00:51;[665, 680, 660];[91];651
yzug;OPEN;2020-01-06 12:07;2020-05-21 09:39;2020-08-18 21:09;[673, 696, 698];[97];651
lpc;OPEN;2020-01-16 13:54;2020-05-04 09:28;2020-07-17 04:17;[689, 677, 671];[95];651
odk;OPEN;2020-01-09 03:29;2020-05-02 19:29;2020-07-03 23:48;[664, 685, 670, 678];[96];651
nmve;OPEN;2020-01-31 12:40;2020-05-14 03:08;2020-07-17 23:42;[692, 680, 688, 698, 672];[92];651
asz;OPEN;2020-01-10 00:21;2020-05-08 20:44;2020-08-12 18:55;[662, 691, 682, 673, 670];[92];651
